Sentence;Speaker;Timestamp;"Customer Engagement";;;;;;
;;;Excited;Frustrated;Impolite;Polite;Sad;Satisfied;Sympathetic
"thank you for calling for this limited and speaking";0;2.86;'-;'-;'-;0.727971;'-;0.704176;'-
"I bought a pair of pink shoes three days ago online but it seems like the delivery hasn't been delivered %HESITATION yet";1;6.54;'-;'-;'-;'-;0.723699;'-;'-
"free to tell you remember there was a serious conflict with the shipment of the goods yesterday agent that they";0;14.06;'-;0.636164;'-;'-;0.517753;'-;'-
"gosh I suppose to get those it's really has the conflict with schedule now because five days from now on I'll be having me to do industries which I'm gonna where will the dishes that he bought in your company only grown";1;20.03;'-;0.774207;'-;'-;0.511381;'-;'-
"as for the inconvenience ma'am I would probably feel the same way if I mean your situation but I am rest assured that all your concerns will be heard and taken for granted";0;35.08;'-;'-;'-;'-;'-;'-;'-
"%HESITATION this kid here";1;45.84;'-;'-;'-;'-;'-;'-;'-
"for us to begin with man have your account number please";0;47.74;'-;'-;'-;0.638436;'-;'-;'-
"sure that's zero one two three four five six seven eight nine";1;51.55;'-;'-;'-;'-;'-;'-;'-
"just to confirm that's zero one two three four five six seven eight nine";0;56.92;'-;'-;'-;'-;'-;'-;'-
yes;1;65.75;'-;'-;'-;1;'-;'-;'-
"zero one two three four five six seven eight nine";0;66.66;'-;'-;'-;'-;'-;'-;'-
yes;1;70.53;'-;'-;'-;1;'-;'-;'-
"thank you now for verification purposes may I have your name and date of birth please";0;71.69;'-;'-;'-;0.945029;'-;'-;'-
"yes my name is Cassell said drunk and the account holder birth date December twelfth nineteen ninety five";1;77.99;'-;'-;'-;'-;'-;'-;'-
"thank you for that information we said that all this bear with me when I pull up your account details in the system";0;84.87;'-;'-;'-;0.61313;'-;'-;'-
okay;1;91.18;'-;'-;'-;'-;'-;0.875;'-
"hello ma'am";0;92.97;'-;'-;'-;0.737248;'-;'-;'-
"yes I'm still up";1;94.29;'-;'-;'-;'-;0.506856;'-;'-
"I can see here that you did a payment of ten thousand Bassus last February nineteen and that was three days ago let credit card and it seems like you problem needs a permission authorized by my supervisor will you be able to hold the car for a minute ma'am";0;96.06;'-;'-;'-;'-;0.502465;'-;'-
"oh yes";1;112.53;'-;'-;'-;'-;'-;'-;'-
"thank you for patiently waiting I'm afraid to tell you ma'am but the delivery will not be delivered to you anymore";0;114.49;'-;'-;'-;'-;'-;'-;'-
"are you kidding me what I'm gonna do now who'll";1;121.46;'-;'-;'-;'-;'-;'-;'-
"be serious apology man however there is a good news the company will refund your payment date one of the company's policies to give a refund for the customers whose orders have not been delivered %HESITATION shipped";0;126.18;'-;'-;'-;0.816686;'-;'-;0.804997
"it hurts but the only way to set me free is acceptance so how will it be transacted";1;139.44;'-;'-;'-;'-;0.667253;'-;'-
"the proceeds will proceed in your account twenty minutes right after this conversation";0;145.77;'-;'-;'-;'-;'-;'-;'-
"thank goodness what a relief will there be a charge";1;150.47;0.742276;'-;'-;0.534123;'-;0.514988;'-
"no ma'am the second good news is there will be a twenty five percent increase of them aren't rendered meaning to say you're a monthly increase to a quarter";0;153.73;'-;'-;'-;'-;'-;'-;'-
"%HESITATION thank you very much will there be anything else then got a percent just didn't give me many back";1;162.98;'-;'-;'-;'-;'-;0.715845;'-
"your account is enough ma'am the company would be grateful to give you an early birthday press and";0;169.93;0.626648;'-;'-;'-;'-;'-;'-
"%HESITATION sure thing I am they're happier more you can imagine";1;175.76;0.755919;'-;'-;'-;'-;'-;'-
"thank you so much ma'am a few reminders ma'am you can also rate our company online in terms of the situation up progress feedbacks are very inclined to importance for the company to know whether to products and services progress or not he can score us by logging into our website at triple W. dot British L. T. D. dot com the website can also give you an update about the latest offers and discounts are currently available";0;180.42;'-;'-;'-;0.828895;'-;'-;'-
"pretty sure okay Dickey I well that if they would reach your competitive particularly dealing with angry customers like me I would rate should ten";1;206.67;'-;0.585598;'-;'-;'-;'-;'-
"%HESITATION thank you so much ma'am just doing my job will there be anything else I can assist you with";0;216.49;'-;'-;'-;0.749637;'-;0.674935;'-
"so you really helped me a lot thanks";1;223.66;0.678961;'-;'-;0.567741;'-;0.815534;'-
"cell thank you for calling for this limited in J. week days";0;226.37;'-;'-;'-;'-;'-;'-;'-
"you too bye";1;230.21;'-;'-;'-;'-;'-;'-;'-
bye;0;231.9;'-;'-;'-;'-;'-;'-;'-
